id,L_node_1,L_node_2,I_node_1,I_node_2,context_L_node,context_I_node,prop_rel
834435,That we absolutely must learn from this,Absolutely lessons must be learnt,we absolutely must learn from this,absolutely lessons must be learnt,and I mean these kind of things should not be happening in a modern civilised society,these kind of things should not be happening in a modern civilised society,rephrase
834449,Women need support through pregnancy,they need support post-pregnancy as well,women need support through pregnancy,women need support post-pregnancy as well,Let's make sure that we've got the systems that flag up where people are not getting the care and attention that they need,let's make sure that we've got the systems that flag up where people are not getting the care and attention that they need,rephrase
834459,and that they can enjoy the childhood that they should expect to see from their young children that they're giving birth to,Without the fear of this massive loss of life that we've seen in this particular case,that they can enjoy the childhood that they should expect to see from their young children that they're giving birth to,that they can enjoy the childhood that they should expect to see from their young children that they're giving birth to without the fear of this massive loss of life that we've seen in this particular case,"By goodness, this must lead to a step change in the support women need",this must lead to a step change in the support women need,rephrase
834608,I got myself into a bit of bother in Parliament a few weeks ago,I was asked to withdraw [applause] the statement that the Prime Minister was a liar,Ian Blackford got himself into a bit of bother in Parliament a few weeks ago,Ian Blackford was asked in Parlament to withdraw the statement that the Prime Minister was a liar,The Prime Minister has broken the ministerial code and he should've gone,the Prime Minister has broken the ministerial code and he should've gone,rephrase
834632,I couldn't,I didn't do that,Ian Blackford couldn't withdraw the statement that the Prime Minister was a liar,Ian Blackford didn't withdraw the statement that the Prime Minister was a liar,I was asked to withdraw [applause] the statement that the Prime Minister was a liar,Ian Blackford was asked in Parlament to withdraw the statement that the Prime Minister was a liar,rephrase
834634,I was asked to withdraw [applause] the statement that the Prime Minister was a liar,I couldn't,Ian Blackford was asked in Parlament to withdraw the statement that the Prime Minister was a liar,Ian Blackford couldn't withdraw the statement that the Prime Minister was a liar,I got myself into a bit of bother in Parliament a few weeks ago,Ian Blackford got himself into a bit of bother in Parliament a few weeks ago,rephrase
834713,people are angry,anger wouldn't go away,people are angry,people's anger wouldn't go away,"the Prime Minister that was responsible for these rules, was preceding over a partying culture","the Prime Minister that was responsible for these rules, was preceding over a partying culture",rephrase
834685,we are improving,"Our outcomes aren't as good as I want them to be, but we are improving",we are improving,"our outcomes aren't as good as Maria Caulfield want them to be, but we are improving","There's 600,000 births a year, the majority of those are safe and happy births","there's 600,000 births a year, the majority of those are safe and happy births",rephrase
834703,"number one on Donna Ockenden's list of essential and immediate actions is funding, financing a safe maternity workforce",that means £200m to £350m each year,"number one on Donna Ockenden's list of essential and immediate actions is funding, financing a safe maternity workforce",financing a safe maternity force means £200m to £350m each year,does that include the funding,does or does not the Secretary of State accepting every single one of Donna Ockenden's recommendations include the funding,rephrase
834799,That was laughter,that was ridicule,that was laughter,that was ridicule,I fully understand the anger and the frustration,Maria Caulfiled fully understands the anger and the frustration of the people,rephrase
834801,That was laughter,they don't believe him,that was laughter,the people don't believe Boris Johnson,I fully understand the anger and the frustration,Maria Caulfiled fully understands the anger and the frustration of the people,rephrase
834868,he has introduced changes at number ten as a result of that,People have lost their jobs as a result of what happened,Boris Johnson has introduced changes at number ten as a result of people receiving a fixed penalty notice,people have lost their jobs as a result of what happened,we don't know the identity of those people that have,we don't know the identity of those people that have received a fixed penalty notice,rephrase
834876,I fully understand the anger and the frustration,I understand that,Maria Caulfiled fully understands the anger and the frustration of the people,Maria Caulfield understands the reaction of the people,what does that make you think,the fact that people laughed at Boris Johnson saying that he didn't believe he was at a party makes Maria Caufield think xxx,rephrase
834917,I fully understand the anger and the frustration,I absolutely understand the frustration and anger,Maria Caulfiled fully understands the anger and the frustration of the people,Maria Caulfield absolutely understand the frustration and anger,what does that make you think,the fact that people laughed at Boris Johnson saying that he didn't believe he was at a party makes Maria Caufield think xxx,rephrase
834937,He isn't one of those people that's had a fixed penalty notice this week,he hasn't received one yet,Boris Johnson isn't one of those people that's had a fixed penalty notice this week,Boris Johnson hasn't received a fixed penalty notice yet,We don't know the identities of the people who've got fixed penalty notices,we don't know the identities of the people who've got fixed penalty notices,rephrase
834940,We don't know the identities of the people who've got fixed penalty notices,we don't know the identity of those people that have,we don't know the identities of the people who've got fixed penalty notices,we don't know the identity of those people that have received a fixed penalty notice,what we've said is that we will wait for the Sue Gray report,we will wait for the Sue Gray report,rephrase
834772,I have watched the system go down,"Every time I have a child I think gosh, this is worse, this is worse",AudienceMember 20220331QT45 has watched the system go down,"Every time AudienceMember 20220331QT45 has a child she thinks gosh, this is worse, this is worse","I'm a mum of three as well, and I've been a mum over the last 12 years","AudienceMember 20220331QT45 is a mum of three as well, and has been a mum over the last 12 years",rephrase
834813,"they just don't have any of the numbers of staff that when I started out being pregnant 12 years ago it was a very, very different system","even if you start now it's going to take many, many years to train up the numbers of people that you need","hospitals just don't have any of the numbers of staff that when AudienceMember 20220331QT45 started out being pregnant 12 years ago it was a very, very different system","even if you start now it's going to take many, many years to train up the numbers of people that you need","Every time I have a child I think gosh, this is worse, this is worse","Every time AudienceMember 20220331QT45 has a child she thinks gosh, this is worse, this is worse",rephrase
834825,"they just don't have any of the numbers of staff that when I started out being pregnant 12 years ago it was a very, very different system",Two thousand midwives we're short according to the Royal College of Midwives and Health Education England,"hospitals just don't have any of the numbers of staff that when AudienceMember 20220331QT45 started out being pregnant 12 years ago it was a very, very different system",two thousand midwives we're short according to the Royal College of Midwives and Health Education England,"Every time I have a child I think gosh, this is worse, this is worse","Every time AudienceMember 20220331QT45 has a child she thinks gosh, this is worse, this is worse",rephrase
835081,I'm really shocked by this,"watching and reading about it now, I'm struck not just about how awful these numbers are",Zanny Minton Beddoes is really shocked by this,"watching and reading about it now, Zanny Minton Beddoes is struck not just about how awful these numbers are",Mums are still at risk until you get back up to those numbers,mums are still at risk until you get back up to those numbers,rephrase
835143,I absolutely agree with all of the recommendations,it will need more funding for maternity care,Zanny Minton Beddoes absolutely agrees with all of the recommendations,the NHS will need more funding for maternity care,I find it hard to believe that there aren't other examples of similar risky things happening in the NHS,it is hard to believe that there aren't other examples of similar risky things which result in children's deaths happening in the NHS,rephrase
835165,where patients are taken seriously,where mothers are taken seriously in maternity cases,there has to be a thinking in the NHS about how can you actually have a culture where patients are taken seriously,there has to be a thinking in the NHS about how can you actually have a culture where mothers are taken seriously in maternity cases,there has to be a thinking in the NHS about how can you actually have a culture where mistakes are admitted,there has to be a thinking in the NHS about how can you actually have a culture where mistakes are admitted,rephrase
835288,if only you could warm the houses with the hot air coming out of the Conservative Party at the moment when it comes to what a great deal this is,it isn't,if only you could warm the houses with the hot air coming out of the Conservative Party at the moment when it comes to what a great deal this energy strategy is,the Governments energy strategy isn't a great deal,there's a great deal of rhetoric,there's a great deal of rhetoric,rephrase
835295,"all the other things that need to be done, you haven't done it",you've not done enough,"all the other things that need to be done, you haven't done it",you've not done enough,"both parties can take their hats off and say, actually that was down to us","both political parties can take their hats off and say, actually that was down to us",rephrase
835331,Even if they're right next to them,"Yeah, and those that live near them actually seem to approve of them more",onshore wind farms are or are not popular with people even if they're right next to them,"onshore wind farms are popular with people right next to them, and those that live near them approve of them more",the polling shows that 80 per cent of the population actually think that wind farms onshore are a good thing,"the polling shows that 80 per cent of the population actually think that wind farms onshore are a good thing, showing that onshore wind farms are popular",rephrase
835351,the silent majority are ignored far too often on this issue,the majority want us to do something about climate change and make sure that we cut the bills down,the silent majority are ignored far too often on the climate issue,the silent majority want us to do something about climate change and make sure that we cut the bills down,that's what the polling says,onshore wind farms being popular is what the polling says,rephrase
835352,"Yeah, and those that live near them actually seem to approve of them more",that's what the polling says,"onshore wind farms are popular with people right next to them, and those that live near them approve of them more",onshore wind farms being popular is what the polling says,Even if they're right next to them,onshore wind farms are or are not popular with people even if they're right next to them,rephrase
835386,"what I could do is, and Greg and I could kind of perform this dance","he could say to me that, I don't know, that we weren't sufficiently in favour of nuclear early enough",Greg Hands and Emily Thornberry could kind of perform this dance,Greg Hands could say to Emily Thornberry that we weren't sufficiently in favour of nuclear early enough,"Well, yeah",yes the Government's energy strategy is too little too late,rephrase
835394,"he could say to me that, I don't know, that we weren't sufficiently in favour of nuclear early enough",97 we weren't in favour,Greg Hands could say to Emily Thornberry that we weren't sufficiently in favour of nuclear early enough,in 1997 we weren't in favour of nuclear,"what I could do is, and Greg and I could kind of perform this dance",Greg Hands and Emily Thornberry could kind of perform this dance,rephrase
835402,97 we weren't in favour,we were by 2005,in 1997 we weren't in favour of nuclear,we were in favour of nuclear by 2005,"he could say to me that, I don't know, that we weren't sufficiently in favour of nuclear early enough",Greg Hands could say to Emily Thornberry that we weren't sufficiently in favour of nuclear early enough,rephrase
835410,"what I could do is, and Greg and I could kind of perform this dance",you cut the subsidies when it came to onshore wind and solar,Greg Hands and Emily Thornberry could kind of perform this dance,Greg Hands cut the subsidies when it came to onshore wind and solar,"Well, yeah",yes the Government's energy strategy is too little too late,rephrase
835457,I don't think in either political party over the last few years has done sufficient on this issue,that's the truth,Emily Thornberry does not think in either political party over the last few years has done sufficient on this issue,it is the truth that either political party has not done sufficient on this issue,You need to make sure that we bring people with it and we subsidise and we make sure our houses are properly looked after,Greg Hands needs to make sure that we bring people with it and we subsidise and we make sure our houses are properly looked after,rephrase
835669,start having onshore wind farms,start onshore wind farms,start having onshore wind farms,start onshore wind farms,"you want to do something quickly and fast and you want to do something cheap, you want to do something effective","you want to do something quickly and fast and you want to do something cheap, you want to do something effective",rephrase
835674,what they've done is not only have they cut the subsidies,"they've also changed the law, so it just takes one person to object to a wind farm and the wind farm is stopped",what they've done is not only have they cut the subsidies,"they've also changed the law, so it just takes one person to object to a wind farm and the wind farm is stopped",start onshore wind farms,start onshore wind farms,rephrase
835676,"they've also changed the law, so it just takes one person to object to a wind farm and the wind farm is stopped",they're not going to change the law,"they've also changed the law, so it just takes one person to object to a wind farm and the wind farm is stopped",they're not going to change the law,what they've done is not only have they cut the subsidies,what they've done is not only have they cut the subsidies,rephrase
835697,with people who are the least well paid in this country who are facing real problems with paying their heating bills,it will be worse next winter and the winter after that,we have the needs with people who are the least well paid in the UK who are facing real problems with paying their heating bills,the least well paid people's real problems with paying their heating bills will be worse next winter and the winter after that,"we have the needs that we see in the church, through foodbanks and through the many things we're involved in","we have the needs that we see in the church, through foodbanks and through the many things we're involved in",rephrase
835743,We need to decarbonise now,That means subsidies for people to insulate their homes and to care for those who have the least capacity to care for themselves,we need to decarbonise now,decarbonising means subsidies for people to insulate their homes and to care for those who have the least capacity to care for themselves,what's going to happen in the short-term,something is going to happen in the short-term,rephrase
835882,We're now apparently getting a nuclear power station every year,I'll believe that when I see it,we're now apparently getting a nuclear power station every year,Greg Hands will believe that we're now getting a nuclear power station every year when he sees it,nuclear power wasn't seen to be safe,nuclear power wasn't seen to be safe,rephrase
835918,Have we mentioned the planning process for onshore wind,David Cameron brought in the restriction,we should mention the planning process for onshore wind,David Cameron brought in the restriction for the planning process for onshore wind,"that's different to the long-term strategy that we've launched today with renewables, nuclear, and making sure we're not increasing our imports of oil and gas","the Chancellor of the Exchequer's really important package is different to the long-term strategy that we've launched today with renewables, nuclear, and making sure we're not increasing our imports of oil and gas",rephrase
835925,David Cameron brought in the restriction,"if one person votes against it, you can't get planning permission",David Cameron brought in the restriction for the planning process for onshore wind,"if one person votes against onshore wind, you can't get planning permission",Have we mentioned the planning process for onshore wind,we should mention the planning process for onshore wind,rephrase
835940,Are the nuclear plant stations planned going to follow the same process,most people would prefer wind to nuclear next door to their house,nuclear plant stations planned are or are not going to follow the same restriction process as for onshore wind,most people would prefer wind to nuclear next door to their house,"if one person votes against it, you can't get planning permission","if one person votes against onshore wind, you can't get planning permission",rephrase
835958,"if one person votes against it, you can't get planning permission",Are the nuclear plant stations planned going to follow the same process,"if one person votes against onshore wind, you can't get planning permission",nuclear plant stations planned are or are not going to follow the same restriction process as for onshore wind,David Cameron brought in the restriction,David Cameron brought in the restriction for the planning process for onshore wind,rephrase
835961,that goes through,what is the longer-term plan to actually bring that back down and shift to renewables as quickly as we should do,drawing up our fuel might go through,xxx is the longer-term plan to actually bring drawing up our fuel back down and shift to renewables as quickly as we should do,"on the fracking side of things, I understand with the Ukrainian situation the desire to draw up our fuel","on the fracking side of things, AudienceMember 20220407QT05 understands with the Ukrainian situation the desire to draw up our fuel",rephrase
836061,Climate change for them isn't a future thing,"for many of them, they're already seeing conflict growing very rapidly through desertification",climate change for the heads of the different provinces of the Anglican Communion isn't a future thing,"for many of them, they're already seeing conflict growing very rapidly through desertification","We had a meeting last week of the heads of the different provinces of the Anglican Communion, representing about 145 countries around the world","we had a meeting last week of the heads of the different provinces of the Anglican Communion, representing about 145 countries around the world",rephrase
836069,"for many of them, they're already seeing conflict growing very rapidly through desertification",They're seeing floods,"for many of them, they're already seeing conflict growing very rapidly through desertification",the heads of the different provinces of the Anglican Communion are seeing floods,Climate change for them isn't a future thing,climate change for the heads of the different provinces of the Anglican Communion isn't a future thing,rephrase
836077,They're seeing floods,they're seeing complete changes in the pattern of rainfall,the heads of the different provinces of the Anglican Communion are seeing floods,the heads of the different provinces of the Anglican Communion are seeing complete changes in the pattern of rainfall,"for many of them, they're already seeing conflict growing very rapidly through desertification","for many of them, they're already seeing conflict growing very rapidly through desertification",rephrase
836148,"One of the lasting memories I have is, having spent 20 years on mediation in…trying to mediate and bring peace in various war zones around the world, was standing beside a mass grave",having to consecrate a mass grave with the bodies of those who had been killed at my feet,"one of the lasting memories Justin Welby has while trying to mediate and bring peace in various war zones around the world, was standing beside a mass grave",having to consecrate a mass grave with the bodies of those who had been killed at my feet,that's only what we're being allowed to see of what's happening in the Ukraine,the images of the war crimes in the Ukraine are only what we're being allowed to see of what's happening in the Ukraine,rephrase
836161,having to consecrate a mass grave with the bodies of those who had been killed at my feet,"In a town where 3,000 bodies were still left unburied in 50 degrees of heat",having to consecrate a mass grave with the bodies of those who had been killed at my feet,"in a town where 3,000 bodies were still left unburied in 50 degrees of heat is one of Justin Welby's lasting memories","One of the lasting memories I have is, having spent 20 years on mediation in…trying to mediate and bring peace in various war zones around the world, was standing beside a mass grave","one of the lasting memories Justin Welby has while trying to mediate and bring peace in various war zones around the world, was standing beside a mass grave",rephrase
836222,the first priority has to be pressure and encouragement to bring a ceasefire,that is an absolute priority,the first priority has to be pressure and encouragement to bring a ceasefire,bringing a ceasefire is an absolute priority,you never deal with war crimes until the fighting stops,you never deal with war crimes until the fighting stops,rephrase
836372,The UK already has Europe's largest installed offshore wind capacity,We are number one when it comes to offshore wind,the UK already has Europe's largest installed offshore wind capacity,we are number one when it comes to offshore wind,"today what we launched was the long-term energy strategy which lays out, really in three main planks, how we're going to deliver on renewables","today what we launched was the long-term energy strategy which lays out, really in three main planks, how we're going to deliver on renewables",rephrase
836434,the UK has actually done more to decarbonise than any other G7 economy in the last 30 years,Our emissions are down by 44 per cent in the last 30 years,the UK has actually done more to decarbonise than any other G7 economy in the last 30 years,our emissions are down by 44 per cent in the last 30 years,she is right that we are taking action and moving to net zero,AudienceMember 20220407QT03  is right that we are taking action and moving to net zero,rephrase
836471,"at this time we don't want to be increasing our import of hydrocarbons from abroad, particularly from Russia",I don't want us to be increasing the amount of energy we're importing from Russia or countries like Russia at the moment,"at this time we don't want to be increasing our import of hydrocarbons from abroad, particularly from Russia",Greg Hands doesn't want us to be increasing the amount of energy we're importing from Russia or countries like Russia at the moment,Our emissions are down by 44 per cent in the last 30 years,our emissions are down by 44 per cent in the last 30 years,rephrase
836520,now the Government has gone back to the British Geological Survey and asked them to look again at it,We've asked on fracking to keep our options open,the Government has now gone back to the British Geological Survey and asked them to look again at fracking,we've asked on fracking to keep our options open,fracking was something that you yourself said had no place really in the British economy,fracking was something that Greg Hands himself said had no place really in the British economy,rephrase
836624,there are billions of pounds being paid out to shareholders constantly over the last,the figure is £200 billion over the last 11 years,there are billions of pounds being paid out to shareholders constantly over the last 11 years,the figure that is being paid out to shareholders is £200 billion over the last 11 years,the war in Ukraine will look like a stroll in the park compared to the famine and starvation and the wars that will happen if climate change actually goes beyond the 1.5 degrees that we're already destined to achieve,the war in Ukraine will look like a stroll in the park compared to the famine and starvation and the wars that will happen if climate change actually goes beyond the 1.5 degrees that we're already destined to achieve,rephrase
836650,the cost of living isn't going down,it's going up,the cost of living isn't going down,the cost of living is going up,You said about the £200 rebate which we're going to have to pay back in £40 instalments,the Treasury offered a £200 rebate which the UK public will pay back in £40 instalments,rephrase
836699,The one thing that's missing from this whole scenario is honesty,There's no honesty about the technology that's being used,the one thing that's missing from this whole scenario is honesty,there is no honesty in the scenario about the technology that's being used,The money is going into the wrong things,money should not be going into nuclear energy,rephrase
836712,"One hundred years ago, Nikola Tesla downloaded electromagnetic energy from the sun",It was suppressed by a banker,"one hundred years ago, Nikola Tesla downloaded electromagnetic energy from the sun",Nikola Tesla downloading electromagnetic energy from the sun was suppressed by a banker,There's no honesty about the technology that's being used,there is no honesty in the scenario about the technology that's being used,rephrase
836720,It was suppressed by a banker,It's the bankers that have been holding us back because of their investments and we need to start looking at new technology,Nikola Tesla downloading electromagnetic energy from the sun was suppressed by a banker,it's the bankers that have been holding us back from and suppressing alternate energy sources because of their investments and we need to start looking at new technology,"One hundred years ago, Nikola Tesla downloaded electromagnetic energy from the sun","one hundred years ago, Nikola Tesla downloaded electromagnetic energy from the sun",rephrase
836774,I also have been with the victims often enough in enough places to know that they're the ones who matter at the moment,We go for the people who are suffering and try and stop the suffering before it gets worse,Justin Welby has been with the victims of war crimes often enough in enough places to know that they're the ones who matter at the moment,we go for the people who are suffering and try and stop the suffering before it gets worse,"it's not the rulers, they will be held to account by… As a Christian, you'd expect me to say they'll be held to account by God, if not before","it's not the rulers, they will be held to account by God, if not before",rephrase
836793,it also means diplomacy,it often means negotiating with people who have done pretty unpleasant things,it also means diplomacy,it often means negotiating with people who have done pretty unpleasant things,that's going to mean sanctions,that's going to mean sanctions,rephrase
836831,Will that make any difference,Does that take us any further forward,that Russia has been voted off the UN Human Rights Council will or will not make any difference,that Russia has been voted off the UN Human Rights Council does or doesn't not take us any further forward,Russia tonight has been voted off the UN Human Rights Council,Russia tonight has been voted off the UN Human Rights Council,rephrase
836860,"the announcements today of the eight sites, for example, Wylfa, for example, Hartlepool, these are all places with a long nuclear tradition, sometimes going back to the 1950s",There are areas with strong popular support for nuclear power in those places,"the announcements today of the eight sites, for example, Wylfa, for example, Hartlepool, these are all places with a long nuclear tradition, sometimes going back to the 1950s",there are areas with strong popular support for nuclear power in those places of the eight sites,they're typically the place that have had nuclear power plants before,places where local people desire power plants have had nuclear power plants before,rephrase
836882,We need energy that is homegrown and home blown,"Our offshore wind capacity, our onshore wind capacity, we've got more onshore wind than offshore wind",we need energy that is homegrown and home blown,"our offshore wind capacity, our onshore wind capacity, we've got more onshore wind than offshore wind","climate change and action on the climate, going back to the IPCC report on Monday, it goes hand in hand with increasing and enhancing our energy security","climate change and action on the climate, going back to the IPCC report on Monday, it goes hand in hand with increasing and enhancing our energy security",rephrase
836890,"Our offshore wind capacity, our onshore wind capacity, we've got more onshore wind than offshore wind",We've got more solar,"our offshore wind capacity, our onshore wind capacity, we've got more onshore wind than offshore wind",we've got more solar energy,We need energy that is homegrown and home blown,we need energy that is homegrown and home blown,rephrase
836906,"We are doing this, pushing all of this through","today's energy security strategy will help to move that further in that same direction, of a low carbon energy secure future","we are producing this energy, pushing all of this through","today's energy security strategy will help to move that further in that same direction, of a low carbon energy secure future",We need energy that is homegrown and home blown,we need energy that is homegrown and home blown,rephrase
836974,We need to act now,"we need to have urgent, independent verification of the scale of the atrocities and war crimes we have all seen in our TV screens",we need to act now,"we need to have urgent, independent verification of the scale of the atrocities and war crimes we have all seen in our TV screens",the reality is we cannot simply wait for Vladimir Putin to have an accounting with his god,the reality is we cannot simply wait for Vladimir Putin to have an accounting with his god,rephrase
836983,"we need to have urgent, independent verification of the scale of the atrocities and war crimes we have all seen in our TV screens","by urgent I mean a matter of days, not weeks and months","we need to have urgent, independent verification of the scale of the atrocities and war crimes we have all seen in our TV screens","by urgent Dan Hodges means a matter of days, not weeks and months",We need to act now,we need to act now,rephrase
836999,they are verified,I fear they would be,the atrocities and war crimes we have all seen in our TV screens might be verified,Dan Hodges fears that the atrocities and war crimes we have all seen in our TV screens could be verified,"we need to have urgent, independent verification of the scale of the atrocities and war crimes we have all seen in our TV screens","we need to have urgent, independent verification of the scale of the atrocities and war crimes we have all seen in our TV screens",rephrase
837014,we have to act,we have to act directly,we have to act,we have to act directly,I fear they would be,Dan Hodges fears that the atrocities and war crimes we have all seen in our TV screens could be verified,rephrase
837023,we have to act directly,"We have to, at a minimum, obviously, give the Ukrainians the weapons required to defend themselves",we have to act directly,"we have to, at a minimum, obviously, give the Ukrainians the weapons required to defend themselves",we have to act,we have to act,rephrase
837044,"Yes, absolutely, without question",I would go further,"Dan Hodges would absolutely, without question include fighter jets in giving the Ukrainians the weapons required to defend themselves",Dan Hodges would go further than including fighter jets in giving the Ukrainians the weapons required to defend themselves,Would you include in that fighter jets,Dan Hodges would or would not include fighter jets in giving the Ukrainians the weapons required to defend themselves,rephrase
837047,"We have to, at a minimum, obviously, give the Ukrainians the weapons required to defend themselves",Would you include in that fighter jets,"we have to, at a minimum, obviously, give the Ukrainians the weapons required to defend themselves",Dan Hodges would or would not include fighter jets in giving the Ukrainians the weapons required to defend themselves,we have to act directly,we have to act directly,rephrase
837146,What are you all shouting,They're saying it's a loan,xxx is what the audience is shouting,the audience is saying the £200 is a loan,you're all shouting,the audience is all shouting,rephrase
837265,"The individual does not have an obligation to repay, it's taken back to the form of a loan","It's taken back at the point at which it is charged, it's not an obligation","the individual does not have an obligation to repay the £200, it's taken back to the form of a loan","the £200 is taken back at the point at which it is charged, it's not an obligation",it doesn't create an obligation on the individual to repay,the £200 doesn't create an obligation on the individual to repay,rephrase
837272,Is that it?,"That is it, isn't it",the £200 is or is not an obligation,Greg Hands is saying that the £200 is not an obligation,It is not an obligation,the £200 is not an obligation,rephrase
837422,we were saying in the Labour Party is that we would spend £28 billion on a green fund,we would spend £6 billion on insulating homes,we were saying in the Labour Party that we would spend £28 billion on a green fund,the Labour Party would spend £6 billion on insulating homes,"A unit powering your house to be about that big, it will be in your house and it will be completely independent","an EM energy unit powering your house to be about that big, it will be in your house and it will be completely independent",rephrase
837527,we said at the end of the Second World War never again,"We said, after we saw the atrocities in Bosnia, never again",we said at the end of the Second World War never again,"we said, after we saw the atrocities in Bosnia, never again",the idea that living in a world that abides by those rules we are in some way making ourselves safer is a fantasy,the idea that living in a world that abides by those rules we are in some way making ourselves safer is a fantasy,rephrase
837535,"We said, after we saw the atrocities in Bosnia, never again","We said, after we saw the atrocities in Rwanda, never again","we said, after we saw the atrocities in Bosnia, never again","we said, after we saw the atrocities in Rwanda, never again",we said at the end of the Second World War never again,we said at the end of the Second World War never again,rephrase
837568,a lot of the stuff you see in the news lately is all action from the Government,"the news is actions need to be taken, sanctions have been put forward",a lot of the stuff you see in the news lately is all action from the Government,"the news is actions need to be taken, sanctions have been put forward",thanks for clarifying what actions do need to be taken,thanks for clarifying what actions do need to be taken,rephrase
837609,I don't think we should have no faith in the International Criminal Court,we should have confidence in it,Greg Hands does not think we should have no faith in the International Criminal Court,we should have confidence in the International Criminal Court,"in terms of the International Criminal Court, we've got to remember that only 20 years or so ago,","in terms of the International Criminal Court, we've got to remember that only 20 years or so ago, these characters were actually, or a lot of them were actually brought to justice",rephrase
837623,we also have to make sure that Vladimir Putin actually does not win this conflict,"It is essential, both for the Ukraine, and for international peace and security going forward, that a country that has launched such a blatant and offensive, an old-style, early 20th century military offensive against its neighbour does not succeed",we also have to make sure that Vladimir Putin actually does not win this conflict,"it is essential, both for the Ukraine, and for international peace and security going forward, that a country that has launched such a blatant and offensive, an old-style, early 20th century military offensive against its neighbour does not succeed",we should have confidence in it,we should have confidence in the International Criminal Court,rephrase
837631,"It is essential, both for the Ukraine, and for international peace and security going forward, that a country that has launched such a blatant and offensive, an old-style, early 20th century military offensive against its neighbour does not succeed",That is the most important thing in this,"it is essential, both for the Ukraine, and for international peace and security going forward, that a country that has launched such a blatant and offensive, an old-style, early 20th century military offensive against its neighbour does not succeed",that Vladimir Putin does not win this conflict is the most important thing in this,we also have to make sure that Vladimir Putin actually does not win this conflict,we also have to make sure that Vladimir Putin actually does not win this conflict,rephrase
837673,we're at a moment where they are recalibrating,they withdraw and work out what they're going to do next,we're at a moment where the Russians are recalibrating,the Russians withdraw and work out what they're going to do next,I hate to think the stories that we're going to hear coming out of those countries as well,Emily Thornberry hates to think the stories that we're going to hear coming out of those countries as well,rephrase
837685,We need to recalibrate as well,we need to make sure that we work out what we're doing next,we need to recalibrate as well,we need to make sure that we work out what we're doing next,we're at a moment where they are recalibrating,we're at a moment where the Russians are recalibrating,rephrase
837767,we now need to think about the risks of not intervening,I mean that in terms of in a practical sense,we now need to think about the risks of not intervening in the atrocities in Ukraine,Dan Hodges means thinking about the risks of not intervening in the atrocities in Ukraine in terms of in a practical sense,there are very real risks,there are very real risks in taking the approach of introducing a no-fly zone and safe havens,rephrase
837769,I mean that in terms of in a practical sense,not just in a moral sense,Dan Hodges means thinking about the risks of not intervening in the atrocities in Ukraine in terms of in a practical sense,Dan Hodges does not mean thinking about the risks of not intervening in the atrocities in Ukraine just in a moral sense,we now need to think about the risks of not intervening,we now need to think about the risks of not intervening in the atrocities in Ukraine,rephrase
837785,not just in a moral sense,what do you think those risks will be,Dan Hodges does not mean thinking about the risks of not intervening in the atrocities in Ukraine just in a moral sense,Dan Hodges thinks risks of not intervening in the atrocities in Ukraine will be xxx,I mean that in terms of in a practical sense,Dan Hodges means thinking about the risks of not intervening in the atrocities in Ukraine in terms of in a practical sense,rephrase
837758,It operates in a different way to providing energy through the mains,There is a competitive market out there,the market operates in a different way to providing energy through the mains,there is a competitive market out there,"There is a very competitive market out there, in terms of the number of different companies","there is a very competitive market out there, in terms of the number of different companies",rephrase
837818,the answer is the same for both,The answer is more renewables,the answer is the same for being green and being good for our energy security,the answer to being green and being good for our energy security is more renewables,"there's sometimes, if you like, put up this kind of false choice between being green and being good for our energy security",there's sometimes put up this kind of false choice between being green and being good for our energy security,rephrase
837862,"there's sometimes, if you like, put up this kind of false choice between being green and being good for our energy security",the answer is the same for both,there's sometimes put up this kind of false choice between being green and being good for our energy security,the answer is the same for being green and being good for our energy security,I'm very much with you in terms of the difficulties that people are having paying those high heating oil prices,people are having difficulties paying those high heating oil prices,rephrase
837990,"The people of Ukraine, I take my hat off to them",they are so cohesive,"The people of Ukraine, AudienceMember 20220407QT16 takes their hat off to them",AudienceMember 20220407QT16 takes their hat off to Ukrainian people as they are so cohesive,"Every time he's on television, he's begging us to help","every time President Zelensky is on television, he's begging us to help",rephrase
837991,"The people of Ukraine, I take my hat off to them",they are fighters,"The people of Ukraine, AudienceMember 20220407QT16 takes their hat off to them",AudienceMember 20220407QT16 takes their hat off to the Ukrainian people as they are fighters,"Every time he's on television, he's begging us to help","every time President Zelensky is on television, he's begging us to help",rephrase
837992,"The people of Ukraine, I take my hat off to them",they are hard people,"The people of Ukraine, AudienceMember 20220407QT16 takes their hat off to them",AudienceMember 20220407QT16 takes their hat off to the Ukrainian people as they are hard people,"Every time he's on television, he's begging us to help","every time President Zelensky is on television, he's begging us to help",rephrase
838183,"He's telling us that what we see on our televisions night after night, the awful rape, pillage, all of those things, we see it nightly, he tells us it's not happening",We need to act now for those people,"Putin is telling us that what we see on our televisions night after night, the awful rape, pillage, all of those things, we see it nightly, he tells us it's not happening",we need to act now for those Ukrainian people living under these awful conditions,"for somebody like Putin? He told us he wasn't going to invade, and he did","talking does not work for somebody like Putin, he told us he wasn't going to invade, and he did",rephrase
